%% logfile from robot Ella (8)
% Ella (8)
%  1    time 3.844 sec
%  2 .. 22 Edge sensor: left -2.660000 1, right -0.264723 1, values 2201 2568 2565 2290 1840 1346 1442 1207, white 1, used 1, LEDhigh=1, xb=0 xw=0 xbc=0 xwc=0 lvl=5 lvr=5       whitelevel=[2276 2639 2892 2996 2872 2671 2521 2194]       blacklevel=[0 0 0 0 0 0 19 33]
% 23 32 ctrl edge, ref=0.5, m=-0.264723, m2=-0.714212, uf=0, r2=0.5, ep=0.242842,up=0.0838589, ui=0, u1=0.0838589, u=0.0838589
3.960 -2.8068 1 0.1741 1  2152 2598 2785 2673 2053 1590 1509 1212  1 1 1 0 1 0 1 5 5 0.5 0.174084 0.136533 0 0.5 0.0726933 0.0661076 0 0.0661076 0.0661076 
3.962 -2.6600 1 0.2204 1  2237 2602 2932 2680 2100 1592 1416 1211  1 1 1 0 0 0 1 5 5 0.5 0.220442 0.223066 0 0.5 0.0553869 0.0591256 0 0.0591256 0.0591256 
3.964 -2.6600 1 0.1652 1  2234 2600 2739 2684 2044 1601 1375 1242  1 1 1 0 1 0 1 5 5 0.5 0.165161 0.0909268 0 0.5 0.0818146 0.0686288 0 0.0686288 0.0686288 
3.966 -2.6600 1 0.2845 1  2425 2600 2935 2702 2140 1619 1354 1221  1 1 1 0 0 0 1 5 5 0.5 0.284527 0.424629 0 0.5 0.0150742 0.045794 0 0.045794 0.045794 
3.968 -2.6600 1 0.3580 1  2181 2597 2938 2709 2184 1624 1332 1229  1 1 1 0 0 0 1 5 5 0.5 0.358043 0.595466 0 0.5 -0.0190932 0.0332177 0 0.0332177 0.0332177 
3.970 -2.6600 1 0.2888 1  2338 2605 2774 2718 2157 1637 1491 1243  1 1 1 0 0 0 0 5 5 0.5 0.288809 0.367396 0 0.5 0.0265209 0.0478518 0 0.0478518 0.0478518 
3.972 -2.6600 1 0.3976 1  2235 2599 2874 2730 2221 1643 1393 1250  1 1 1 0 0 0 0 5 5 0.5 0.397574 0.643174 0 0.5 -0.0286349 0.0281979 0 0.0281979 0.0281979 
3.974 -2.7806 1 0.3074 1  2069 2602 2845 2730 2152 1652 1356 1165  1 1 1 0 0 0 0 5 5 0.5 0.307394 0.310846 0 0.5 0.0378307 0.0487773 0 0.0487773 0.0487773 
3.976 -2.7636 1 0.3113 1  2022 2604 2886 2735 2162 1667 1373 1330  1 1 1 0 0 0 0 5 5 0.5 0.311309 0.280673 0 0.5 0.0438653 0.049611 0 0.049611 0.049611 
3.978 -2.7526 1 0.4628 1  2008 2599 2714 2746 2276 1681 1623 1261  1 1 1 0 1 0 1 5 5 0.5 0.462801 0.705837 0 0.5 -0.0411673 0.0203434 0 0.0203434 0.0203434 
3.980 -2.6600 1 0.3246 1  2267 2610 2765 2756 2200 1693 1547 1272  1 1 1 0 0 0 0 5 5 0.5 0.324558 0.274829 0 0.5 0.0450343 0.0484204 0 0.0484204 0.0484204 
