%% logfile from robot Silke (54)
% log is empty
% Silke (54)
%  1    time 2.003 sec
%  2  3  4  5   (mission 0), state 2, entered (thread 1, line 1), events 0x0 (bit-flags)
%  6  7  8 Gyro x,y,z [deg/s]: 0.0305176 -2.2583 2.2583
%  9 10 Motor velocity ref left, right: 0.0338 0.0342
% 11 12 Wheel velocity [m/s] left, right: 0.0181 0.0125
% 13 14 15 16 Pose x,y,h,tilt [m,m,rad,rad]: 0.0355435 -3.92846e-05 0.00259112 -0.0107826
% 17 .. 37 Edge sensor: left 0.000000 0, right 0.000000 0, values 553 609 699 694 703 717 729 564, white 1, used 1, LEDhigh=0, xb=0 xw=0 xbc=0 xwc=0 lvl=0 lvr=0       whitelevel=[923 1039 1179 1162 1189 1192 1201 920]       blacklevel=[132 155 174 173 174 176 174 137]
2.168 2 1 1 0 0.152588 -17.944336 -2.716064 -0.0231 -0.0270 -0.0185 -0.0125 0.0313 -0.0000 0.000000 0.046300 0.0000 0 0.0000 0  614 699 798 788 802 829 844 652  1 1 0 0 0 0 0 0 0 
2.173 2 1 1 0 -0.610352 -19.195557 -2.227783 -0.0175 -0.0203 -0.0149 -0.0125 0.0313 -0.0000 0.000000 0.047609 0.0000 0 0.0000 0  629 700 802 802 809 824 846 651  1 1 0 0 0 0 0 0 0 
2.178 2 1 1 0 -0.579834 -19.012451 -1.434326 -0.0126 -0.0161 -0.0125 -0.0125 0.0313 -0.0000 0.000000 0.049205 0.0000 0 0.0000 0  629 693 799 803 810 825 851 662  1 1 0 0 0 0 0 0 0 
2.183 2 1 1 0 -0.549316 -20.935059 -1.495361 -0.0041 -0.0081 -0.0108 -0.0125 0.0313 -0.0000 0.000000 0.050783 0.0000 0 0.0000 0  622 701 809 806 812 831 858 657  1 1 0 0 0 0 0 0 0 
2.188 2 1 1 0 -0.701904 -20.904541 -1.098633 0.0023 -0.0021 -0.0096 -0.0125 0.0313 -0.0000 0.000000 0.052448 0.0000 0 0.0000 0  631 706 808 812 820 835 855 657  1 1 0 0 0 0 0 0 0 
2.193 2 1 1 0 -0.793457 -21.667480 -1.007080 0.0103 0.0056 -0.0084 -0.0104 0.0313 -0.0000 0.000000 0.054092 0.0000 0 0.0000 0  635 715 814 803 821 822 862 664  1 1 0 0 0 0 0 0 0 
2.198 2 1 1 0 -0.427246 -20.904541 0.305176 0.0163 0.0113 -0.0076 -0.0092 0.0313 -0.0000 0.000000 0.055709 0.0000 0 0.0000 0  656 709 815 811 822 842 868 668  1 1 0 0 0 0 0 0 0 
2.203 2 1 1 0 -0.152588 -21.789551 0.915527 0.0270 0.0199 -0.0068 0.0084 0.0315 -0.0000 0.002591 0.057352 0.0000 0 0.0000 0  632 708 822 806 826 843 872 670  1 1 0 0 0 0 0 0 0 
2.208 2 1 1 0 -0.427246 -22.613525 1.464844 0.0378 0.0206 -0.0064 0.0084 0.0315 -0.0000 0.002591 0.059094 0.0000 0 0.0000 0  643 710 829 831 830 850 882 671  1 1 0 0 0 0 0 0 0 
2.213 2 1 1 0 -0.976562 -20.477295 -3.143311 0.0442 0.0171 -0.0060 0.0084 0.0315 -0.0000 0.002591 0.060828 0.0000 0 0.0000 0  642 713 828 818 832 853 887 680  1 1 0 0 0 0 0 0 0 
