%% logfile from robot Silke (54)
% Silke (54)
%  1    time 2.017 sec
%  2  3  4  5   (mission 0), state 2, entered (thread 1, line 1), events 0x0 (bit-flags)
%  6  7  8 Gyro x,y,z [deg/s]: 0.671387 -0.305176 12.146
%  9 10 Motor velocity ref left, right: 0.0242 0.0174
% 11 12 Wheel velocity [m/s] left, right: 0.0257 -0.0177
% 13 14 15 16 Pose x,y,h,tilt [m,m,rad,rad]: -0.0180718 -0.000191476 -0.00518225 -0.00867923
% 17 .. 37 Edge sensor: left 0.976893 0, right 4.180000 0, values 614 678 779 760 740 730 725 550, white 1, used 1, LEDhigh=0, xb=0 xw=0 xbc=0 xwc=0 lvl=0 lvr=0       whitelevel=[923 1039 1179 1162 1189 1192 1201 920]       blacklevel=[132 155 174 173 174 176 174 137]
3.217 2 1 2 0 2.441406 0.091553 8.758545 0.2118 0.1486 0.1659 0.1639 0.1257 -0.0003 -0.000000 -0.010045 -1.8700 0 -0.5393 0  888 1015 1167 1151 1170 1214 1232 936  1 1 0 0 1 0 20 0 0 
3.237 2 1 2 0 0.122070 -6.713867 12.573242 0.2331 0.1499 0.1847 0.1598 0.1293 -0.0003 -0.005182 -0.008617 -1.8700 0 -0.5393 0  926 1031 1172 1160 1182 1226 1243 946  1 1 0 0 1 0 20 0 0 
3.257 2 1 2 0 1.312256 -5.920410 24.841309 0.2507 0.1475 0.1876 0.1815 0.1327 -0.0004 -0.012956 -0.006575 -1.8700 0 -0.5393 0  927 1039 1192 1175 1197 1241 1250 957  1 1 0 0 1 0 20 0 0 
3.277 2 1 2 0 2.899170 -5.828857 35.217285 0.2759 0.1527 0.2462 0.1313 0.1362 -0.0004 -0.020729 -0.005419 -1.8700 0 -0.5393 0  911 1034 1194 1194 1206 1222 1258 969  1 1 0 0 1 0 20 0 0 
3.297 2 1 2 0 3.601074 3.723145 44.036865 0.2752 0.1320 0.2036 0.1518 0.1400 -0.0005 -0.033685 -0.005932 -1.8700 0 -0.5393 0  939 1014 1177 1184 1187 1217 1254 957  1 1 0 0 1 0 20 0 0 
3.317 2 1 2 0 4.699707 1.586914 49.194336 0.3078 0.1446 0.2695 0.1366 0.1438 -0.0007 -0.051822 -0.006925 -1.8700 0 -0.5393 0  879 994 1136 1120 1147 1181 1220 934  1 1 0 0 1 0 20 0 0 
3.337 2 1 2 0 6.469727 10.284424 51.513672 0.3083 0.1252 0.2747 0.1088 0.1476 -0.0009 -0.069960 -0.010430 0.7733 1 4.1800 0  779 896 1039 1036 1051 1112 1141 896  1 1 0 0 1 0 20 8 0 
3.357 2 1 2 0 11.016846 11.077881 60.668945 0.3224 0.1192 0.2494 0.1217 0.1518 -0.0012 -0.088098 -0.013535 0.9546 1 4.1800 0  690 792 897 940 959 998 1035 838  1 1 0 0 0 0 0 20 0 
3.377 2 1 2 0 8.209229 14.160156 68.969727 0.3388 0.1157 0.2848 0.1598 0.1558 -0.0016 -0.114009 -0.016738 0.9298 1 4.1800 0  572 670 778 800 823 868 905 750  1 1 0 0 0 0 0 20 0 
3.397 2 1 2 0 8.666992 14.129639 71.533203 0.3500 0.1069 0.3582 0.0639 0.1598 -0.0021 -0.139921 -0.023220 0.9101 0 4.1800 0  516 609 682 699 722 750 793 645  1 1 0 0 0 0 0 0 0 
