%% logfile from robot Silke (54)
% Silke (54)
%  1    time 2.010 sec
%  2  3  4  5   (mission 0), state 2, entered (thread 1, line 1), events 0x0 (bit-flags)
%  6  7  8 Gyro x,y,z [deg/s]: -0.0305176 -6.22559 0.0305176
%  9 10 Motor velocity ref left, right: -0.0044 -0.0190
% 11 12 Wheel velocity [m/s] left, right: -0.0028 -0.0229
% 13 14 15 16 Pose x,y,h,tilt [m,m,rad,rad]: 0.0202819 2.83578e-05 0.00259112 0.00687665
% 17 .. 37 Edge sensor: left -4.180000 0, right -0.200014 0, values 529 594 677 662 666 691 693 556, white 1, used 1, LEDhigh=0, xb=0 xw=0 xbc=0 xwc=0 lvl=0 lvr=0       whitelevel=[923 1039 1179 1162 1189 1192 1201 920]       blacklevel=[132 155 174 173 174 176 174 137]
2.510 2 1 1 0 1.708984 -7.690430 11.779785 0.1765 0.1488 0.1072 0.1269 0.0608 0.0000 0.002591 0.001692 -4.1800 0 -0.2000 0  518 595 679 656 693 713 783 595  1 1 0 0 0 0 0 0 0 
2.520 2 1 1 0 0.823975 -4.241943 6.500244 0.1757 0.1480 0.1586 0.1112 0.0623 0.0000 0.000000 0.002661 -4.1800 0 -0.2000 0  570 600 701 696 696 757 807 605  1 1 0 0 0 0 0 0 0 
2.530 2 1 1 0 1.098633 -1.831055 2.441406 0.1752 0.1600 0.1490 0.1193 0.0635 0.0000 0.000000 0.003380 -4.1800 0 -0.2000 0  520 606 686 685 700 743 815 621  1 1 0 0 0 0 0 0 0 
2.540 2 1 1 0 -0.915527 -3.479004 2.624512 0.1749 0.1700 0.1434 0.1542 0.0649 0.0000 -0.002591 0.003798 -4.1800 0 -0.2000 0  538 607 692 664 704 774 839 627  1 1 0 0 0 0 0 0 0 
2.550 2 1 1 0 -0.274658 1.281738 -3.845215 0.1729 0.1679 0.1651 0.1434 0.0663 0.0000 0.000000 0.004120 -4.1800 0 -0.2000 0  531 606 692 684 708 766 814 630  1 1 0 0 0 0 0 0 0 
2.560 2 1 1 0 0.335693 3.051758 1.770020 0.1636 0.1666 0.1257 0.1313 0.0677 0.0000 -0.002591 0.003230 -4.1800 0 -0.2000 0  545 611 699 687 710 773 824 632  1 1 0 0 0 0 0 0 0 
2.570 2 1 1 0 -0.396729 3.875732 -4.272461 0.1743 0.1514 0.1486 0.1325 0.0691 0.0000 0.000000 0.003441 -4.1800 0 -0.2000 0  519 607 700 689 715 794 813 636  1 1 0 0 0 0 0 0 0 
2.580 2 1 1 0 -1.373291 5.950928 -0.671387 0.1640 0.1469 0.1422 0.1241 0.0705 0.0000 -0.002591 0.002290 -4.1800 0 -0.2000 0  533 600 708 680 724 776 833 629  1 1 0 0 0 0 0 0 0 
2.590 2 1 1 0 0.183105 -1.495361 -2.197266 0.1786 0.1611 0.1422 0.1735 0.0719 0.0000 0.000000 0.002159 -4.1800 0 -0.2000 0  557 609 710 710 723 778 816 625  1 1 0 0 0 0 0 0 0 
2.600 2 1 1 0 -0.915527 -2.929688 -2.410889 0.1934 0.1649 0.1735 0.1414 0.0735 0.0000 0.000000 0.003173 -4.1800 0 -0.2000 0  545 633 719 713 729 773 790 623  1 1 0 0 0 0 0 0 0 
2.610 2 1 1 0 0.671387 2.014160 4.577637 0.1873 0.1588 0.1197 0.1783 0.0751 0.0000 0.000000 0.002610 -4.1800 0 -0.2000 0  519 622 726 702 728 776 796 611  1 1 0 0 0 0 0 0 0 
2.620 2 1 1 0 -0.213623 1.464844 -0.183105 0.1887 0.1615 0.1643 0.1337 0.0763 0.0000 0.000000 0.002644 -4.1800 0 -0.2000 0  541 656 730 702 736 771 815 613  1 1 0 0 0 0 0 0 0 
2.630 2 1 1 0 -0.946045 2.929688 5.645752 0.1840 0.1564 0.1450 0.1687 0.0779 0.0000 0.000000 0.001589 -4.1800 0 -0.2000 0  551 624 729 718 722 765 796 603  1 1 0 0 0 0 0 0 0 
2.640 2 1 1 0 0.213623 0.000000 2.136230 0.1882 0.1681 0.1807 0.1454 0.0793 0.0000 -0.002591 0.001453 -4.1800 0 -0.2000 0  549 603 732 704 733 764 784 590  1 1 0 0 0 0 0 0 0 
2.650 2 1 1 0 1.586914 2.044678 6.042480 0.1861 0.1870 0.1530 0.1606 0.0809 0.0000 -0.002591 0.001259 -4.1800 0 -0.2000 0  553 648 731 706 712 755 756 590  1 1 0 0 0 0 0 0 0 
2.660 2 1 1 0 -0.640869 6.652832 2.380371 0.1844 0.1847 0.1574 0.1783 0.0825 0.0000 -0.002591 0.000657 -4.1800 0 -0.2000 0  550 634 724 716 742 752 777 607  1 1 0 0 0 0 0 0 0 
2.670 2 1 1 0 0.732422 8.209229 2.075195 0.1765 0.1762 0.1514 0.1671 0.0841 0.0000 -0.002591 -0.000794 -4.1800 0 -0.2000 0  553 635 730 728 759 748 773 603  1 1 0 0 0 0 0 0 0 
