%% logfile from robot Karla (10)
% Karla (10)
%  1    time 2.002 sec
%  2  3  4  5   (mission 0), state 2, entered (thread 1, line 1), events 0x0 (bit-flags)
%  6  7 Wheel velocity [m/s] left, right: 0.0430 0.0434
%  8  9 10 11 Pose x,y,h,tilt [m,m,rad,rad]: 0.0234557 0.00259583 0.00259112 0.0357512
% 12 .. 32 Edge sensor: left -2.983517 0, right -0.952187 0, values 562 796 903 911 886 805 771 639, white 1, used 1, LEDhigh=0, xb=0 xw=0 xbc=0 xwc=0 lvl=0 lvr=0       whitelevel=[884 1280 1410 1427 1392 1268 1229 999]       blacklevel=[119 163 174 182 180 171 150 124]
% 12 13 Get data time [us]: 100 +ctrl 460
2.247 2 1 1 0 0.0189 0.0321 0.0315 0.0026 -0.007773 0.053055 -2.9835 0 -0.9522 0  616 893 981 954 898 844 836 673  1 1 0 0 0 0 0 0 0 100 450 
2.252 2 1 1 0 0.0189 0.0253 0.0315 0.0026 -0.007773 0.053958 -2.9835 0 -0.9522 0  605 904 984 966 929 842 860 670  1 1 0 0 0 0 0 0 0 100 460 
2.257 2 1 1 0 0.0189 0.0225 0.0317 0.0026 -0.005182 0.055384 -2.9835 0 -0.9522 0  624 924 990 965 931 848 803 675  1 1 0 0 0 0 0 0 0 100 460 
2.262 2 1 1 0 0.0217 0.0225 0.0319 0.0026 -0.007773 0.057868 -2.9835 0 -0.9522 0  625 876 1000 958 931 852 801 682  1 1 0 0 0 0 0 0 0 100 460 
2.267 2 1 1 0 0.0217 0.0225 0.0319 0.0026 -0.007773 0.060205 -2.9835 0 -0.9522 0  633 885 1004 982 943 856 840 684  1 1 0 0 0 0 0 0 0 100 450 
2.272 2 1 1 0 0.0410 0.0237 0.0323 0.0026 -0.007773 0.062179 -2.9835 0 -0.9522 0  634 940 1008 996 925 856 832 686  1 1 0 0 0 0 0 0 0 100 460 
2.277 2 1 1 0 0.0410 0.0237 0.0323 0.0026 -0.007773 0.064178 -2.9835 0 -0.9522 0  637 937 1018 997 953 865 834 693  1 1 0 0 0 0 0 0 0 100 450 
2.282 2 1 1 0 0.0305 0.0369 0.0325 0.0026 -0.005182 0.066993 -2.9835 0 -0.9522 0  647 961 1021 1006 922 871 856 674  1 1 0 0 0 0 0 0 0 100 460 
2.287 2 1 1 0 0.0265 0.0369 0.0327 0.0026 -0.007773 0.069713 -2.9835 0 -0.9522 0  645 915 1028 1011 915 871 885 673  1 1 0 0 0 0 0 0 0 100 460 
2.292 2 1 1 0 0.0265 0.0369 0.0327 0.0026 -0.007773 0.071779 -2.9835 0 -0.9522 0  653 942 1036 1012 959 878 848 705  1 1 0 0 0 0 0 0 0 100 460 
2.297 2 1 1 0 0.0349 0.0289 0.0331 0.0025 -0.007773 0.073445 -2.9835 0 -0.9522 0  661 928 1042 1007 965 883 863 709  1 1 0 0 0 0 0 0 0 100 450 
2.302 2 1 1 0 0.0349 0.0289 0.0331 0.0025 -0.007773 0.075169 -2.9835 0 -0.9522 0  663 957 1046 1014 978 888 883 742  1 1 0 0 0 0 0 0 0 100 450 
2.307 2 1 1 0 0.0466 0.0506 0.0335 0.0025 -0.007773 0.077072 -2.9835 0 -0.9522 0  670 978 1049 1018 961 892 882 675  1 1 0 0 0 0 0 0 0 100 450 
2.312 2 1 1 0 0.0667 0.0466 0.0337 0.0025 -0.010364 0.078650 -2.9835 0 -0.9522 0  668 952 1053 1018 986 895 881 684  1 1 0 0 0 0 0 0 0 100 460 
2.317 2 1 1 0 0.0590 0.0418 0.0341 0.0025 -0.010364 0.079970 -2.9835 0 -0.9522 0  671 972 1062 1020 967 902 887 702  1 1 0 0 0 0 0 0 0 100 470 
