%% logfile from robot Karla (10)
% Karla (10)
%  1    time 2.001 sec
%  2  3 Wheel velocity [m/s] left, right: -0.0627 -0.0454
%  4  5  6  7 Pose x,y,h,tilt [m,m,rad,rad]: -0.000608645 -0.000549157 0.00259112 -0.0153037
%  8 .. 28 Edge sensor: left 1.433686 0, right 4.180000 0, values 519 738 796 812 828 761 733 630, white 1, used 1, LEDhigh=0, xb=0 xw=0 xbc=0 xwc=0 lvl=20 lvr=0       whitelevel=[884 1280 1410 1427 1392 1268 1229 999]       blacklevel=[119 163 174 182 180 171 150 124]
%  8  9 Get data time [us]: 100 +ctrl 460
2.142 -0.0956 -0.0619 -0.0076 -0.0006 0.005182 0.026097 1.4337 0 4.1800 0  546 808 869 879 862 807 828 701  1 1 0 0 0 0 0 20 0 100 460 
2.145 -0.0956 -0.0619 -0.0076 -0.0006 0.005182 0.026160 1.4337 0 4.1800 0  562 805 872 883 859 811 835 666  1 1 0 0 0 0 0 20 0 100 450 
2.148 -0.0920 -0.0739 -0.0080 -0.0006 0.005182 0.026574 1.4337 0 4.1800 0  570 805 876 880 854 795 834 687  1 1 0 0 0 0 0 20 0 100 460 
2.151 -0.0763 -0.0727 -0.0080 -0.0006 0.005182 0.027962 1.4337 0 4.1800 0  573 812 904 884 862 796 837 680  1 1 0 0 0 0 0 20 0 100 450 
2.154 -0.0486 -0.0470 -0.0080 -0.0006 0.005182 0.029924 1.4337 0 4.1800 0  563 815 894 886 865 813 837 684  1 1 0 0 0 0 0 20 0 100 460 
2.157 -0.0353 -0.0345 -0.0080 -0.0006 0.005182 0.031776 1.4337 0 4.1800 0  578 812 888 886 867 816 837 696  1 1 0 0 0 0 0 20 0 100 460 
2.160 -0.0301 -0.0273 -0.0082 -0.0006 0.007773 0.033148 1.4337 0 4.1800 0  579 811 869 892 868 810 837 698  1 1 0 0 0 0 0 20 0 100 450 
2.163 -0.0301 -0.0229 -0.0082 -0.0006 0.007773 0.034734 1.4337 0 4.1800 0  578 817 898 897 867 840 846 701  1 1 0 0 0 0 0 20 0 100 460 
2.166 -0.0301 -0.0193 -0.0082 -0.0006 0.007773 0.036194 1.4337 0 4.1800 0  579 815 895 892 872 823 843 702  1 1 0 0 0 0 0 20 0 100 460 
2.169 -0.0301 -0.0169 -0.0082 -0.0006 0.007773 0.037593 1.4337 0 4.1800 0  582 824 897 896 872 823 843 707  1 1 0 0 0 0 0 20 0 100 460 
2.172 -0.0301 -0.0149 -0.0082 -0.0006 0.007773 0.038832 1.4337 0 4.1800 0  587 828 907 902 872 821 852 703  1 1 0 0 0 0 0 20 0 100 460 
2.175 -0.0249 -0.0133 -0.0082 -0.0006 0.007773 0.039993 1.4337 0 4.1800 0  591 831 905 906 880 824 847 698  1 1 0 0 0 0 0 20 0 100 450 
2.178 -0.0209 -0.0120 -0.0082 -0.0006 0.007773 0.041104 1.4337 0 4.1800 0  587 827 932 905 879 822 848 713  1 1 0 0 0 0 0 20 0 100 460 
2.181 -0.0181 -0.0112 -0.0082 -0.0006 0.007773 0.042010 1.4337 0 4.1800 0  584 832 910 904 875 824 851 709  1 1 0 0 0 0 0 20 0 100 460 
2.184 -0.0161 -0.0100 -0.0082 -0.0006 0.007773 0.042666 1.4337 0 4.1800 0  596 830 908 908 880 838 847 714  1 1 0 0 0 0 0 20 0 100 460 
2.187 -0.0141 -0.0096 -0.0082 -0.0006 0.007773 0.043164 1.4337 0 4.1800 0  592 835 925 911 879 840 858 708  1 1 0 0 0 0 0 20 0 100 460 
2.190 -0.0133 -0.0088 -0.0084 -0.0006 0.010364 0.043473 1.4337 0 4.1800 0  617 839 920 911 881 834 850 707  1 1 0 0 0 0 0 20 0 100 460 
2.193 -0.0133 -0.0088 -0.0086 -0.0006 0.007773 0.043628 1.4337 0 4.1800 0  617 832 914 915 883 814 852 704  1 1 0 0 0 0 0 20 0 100 450 
2.196 -0.0133 -0.0088 -0.0086 -0.0006 0.007773 0.043621 1.4337 0 4.1800 0  558 835 911 897 880 817 858 711  1 1 0 0 0 0 0 20 0 100 460 
2.199 -0.0133 -0.0574 -0.0088 -0.0006 0.005182 0.043719 1.4337 0 4.1800 0  588 838 905 913 885 827 855 703  1 1 0 0 0 0 0 20 0 100 460 
2.202 -0.0374 -0.0574 -0.0090 -0.0006 0.007773 0.043856 1.4337 0 4.1800 0  594 834 907 916 885 826 848 713  1 1 0 0 0 0 0 20 0 100 460 
2.205 -0.0374 -0.0876 -0.0092 -0.0006 0.005182 0.043957 1.4337 0 4.1800 0  574 837 917 906 883 813 848 703  1 1 0 0 0 0 0 20 0 100 450 
2.208 -0.0631 -0.0703 -0.0094 -0.0006 0.007773 0.044134 1.4337 0 4.1800 0  592 840 917 911 885 829 855 703  1 1 0 0 0 0 0 20 0 100 450 
2.211 -0.0631 -0.0458 -0.0094 -0.0006 0.007773 0.044550 1.4337 0 4.1800 0  592 837 921 913 884 832 858 715  1 1 0 0 0 0 0 20 0 100 460 
2.214 -0.0490 -0.0341 -0.0094 -0.0006 0.007773 0.045121 1.4337 0 4.1800 0  585 845 917 915 887 829 858 708  1 1 0 0 0 0 0 20 0 100 450 
2.217 -0.0357 -0.0273 -0.0096 -0.0006 0.010364 0.045871 1.4337 0 4.1800 0  599 846 929 917 888 832 849 715  1 1 0 0 0 0 0 20 0 100 470 
2.220 -0.0357 -0.0225 -0.0096 -0.0006 0.010364 0.046703 1.4337 0 4.1800 0  625 841 923 906 889 848 862 708  1 1 0 0 0 0 0 20 0 100 450 
2.223 -0.0357 -0.0193 -0.0096 -0.0006 0.010364 0.047481 1.4337 0 4.1800 0  633 841 935 932 891 845 864 722  1 1 0 0 0 0 0 20 0 100 460 
2.226 -0.0357 -0.0169 -0.0096 -0.0006 0.010364 0.048138 1.4337 0 4.1800 0  611 848 935 928 892 857 868 718  1 1 0 0 0 0 0 20 0 100 460 
2.229 -0.0333 -0.0165 -0.0098 -0.0006 0.007773 0.048709 1.4337 0 4.1800 0  570 847 925 910 897 825 858 724  1 1 0 0 0 0 0 20 0 100 460 
2.232 -0.0265 -0.0165 -0.0098 -0.0006 0.007773 0.049293 1.4337 0 4.1800 0  597 845 926 907 894 835 866 725  1 1 0 0 0 0 0 20 0 100 460 
2.235 -0.0221 -0.0165 -0.0098 -0.0006 0.007773 0.049806 1.4337 0 4.1800 0  614 850 929 887 896 841 871 723  1 1 0 0 0 0 0 20 0 100 460 
2.238 -0.0189 -0.0442 -0.0100 -0.0006 0.005182 0.050370 1.4337 0 4.1800 0  609 853 930 926 901 843 864 724  1 1 0 0 0 0 0 20 0 100 460 
