%% logfile from robot Karla (10)
% Karla (10)
%  1    time 2.007 sec
%  2  3  4  5   (mission 0), state 2, entered (thread 1, line 1), events 0x0 (bit-flags)
%  6  7  8 Gyro x,y,z [deg/s]: 1.0376 5.67627 -6.98853
%  9 10 Wheel velocity [m/s] left, right: -0.0116 -0.0112
% 11 12 13 14 Pose x,y,h,tilt [m,m,rad,rad]: -0.00742998 -0.000129301 -0.00259112 0.00280174
% 15 .. 35 Edge sensor: left -4.180000 0, right -2.068738 0, values 585 831 893 902 867 780 734 580, white 1, used 1, LEDhigh=0, xb=0 xw=0 xbc=0 xwc=0 lvl=0 lvr=0       whitelevel=[884 1280 1410 1427 1392 1268 1229 999]       blacklevel=[119 163 174 182 180 171 150 124]
% 15 16 Get data time [us]: 100 +ctrl 480
2.588 2 1 1 0 0.305176 24.505615 -7.751465 0.1554 0.1317 0.0131 -0.0003 -0.007773 0.010087 -4.1800 0 -0.8126 0  572 784 871 869 833 770 749 606  1 1 0 0 0 0 0 0 0 100 480 
2.595 2 1 1 0 -0.610352 24.780273 -1.190186 0.1345 0.1562 0.0143 -0.0003 -0.007773 0.006647 -4.1800 0 -0.8126 0  567 795 858 856 849 769 742 595  1 1 0 0 0 0 0 0 0 100 470 
2.602 2 1 1 0 1.861572 18.096924 -2.075195 0.1454 0.1791 0.0153 -0.0003 -0.005182 0.004239 -4.1800 0 -0.8126 0  553 774 857 857 827 761 730 581  1 1 0 0 0 0 0 0 0 100 490 
2.609 2 1 1 0 0.640869 23.315430 -3.021240 0.1285 0.1462 0.0161 -0.0003 -0.005182 0.001868 -4.1800 0 -0.8126 0  550 785 844 854 836 760 732 575  1 1 0 0 0 0 0 0 0 100 480 
2.616 2 1 1 0 -0.061035 21.362305 -3.784180 0.1659 0.1165 0.0171 -0.0003 -0.007773 -0.000893 -4.1800 0 -0.8126 0  544 755 840 848 841 758 729 617  1 1 0 0 0 0 0 0 0 100 480 
2.623 2 1 1 0 0.793457 14.923096 -3.021240 0.1117 0.1498 0.0181 -0.0003 -0.005182 -0.002904 -4.1800 0 -0.8126 0  539 756 839 845 838 758 731 586  1 1 0 0 0 0 0 0 0 100 490 
2.630 2 1 1 0 0.000000 8.422852 -0.549316 0.1530 0.1691 0.0193 -0.0003 -0.005182 -0.004138 -4.1800 0 -0.8126 0  541 753 831 851 822 755 728 576  1 1 0 0 0 0 0 0 0 100 490 
2.637 2 1 1 0 0.122070 13.702393 -9.490967 0.1474 0.1237 0.0201 -0.0003 -0.005182 -0.005101 -4.1800 0 -0.8126 0  534 757 837 846 819 751 721 593  1 1 0 0 0 0 0 0 0 100 470 
2.644 2 1 1 0 0.823975 15.441895 -2.655029 0.1374 0.1285 0.0211 -0.0003 -0.007773 -0.007214 -4.1800 0 -0.8126 0  527 736 819 850 855 755 720 587  1 1 0 0 0 0 0 0 0 100 490 
2.651 2 1 1 0 0.183105 10.345459 -3.051758 0.1129 0.1639 0.0221 -0.0003 -0.005182 -0.008672 -4.1800 0 -0.8126 0  527 741 827 844 816 749 717 545  1 1 0 0 0 0 0 0 0 100 490 
2.658 2 1 1 0 0.457764 10.009766 -4.791260 0.1104 0.1317 0.0229 -0.0003 -0.005182 -0.009692 -4.1800 0 -0.8126 0  522 755 829 845 841 749 714 563  1 1 0 0 0 0 0 0 0 100 480 
